Higher taxonomy,Order,Family,Species,Maximum size (cm),von Bertalanffy growth rate (k),Maximum Age,Age at maturity,Litter size,interbirth interval,rmax,Habitat,Reference
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Triakidae,Mustelus canis,132,0.292,16,4.4,9.5,1,0.568,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Triakidae,Mustelus henlei,100,0.225,13,2.5,4.5,1,1,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Triakidae,Mustelus lenticulatus,137,0.119,19.5,7.5,10.7,1,0.333,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Triakidae,Mustelus manazo,107,0.124,10,4,7.5,1,0.625,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Triakidae,Mustelus mustelus,164,0.06,24,13.5,11.5,1,0.185,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Carchariniformes,Triakidae,Triakis semifasciata,145,0.073,25,10,15,1,0.25,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Lamniformes,Alopiidae,Alopias pelagicus,365.2,0.085,28.5,8.6,2,1,0.291,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Lamniformes,Alopiidae,Alopias superciliosus,422,0.092,21,12.9,2,1,0.194,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Lamniformes,Cetorhinidae,Cetorhinus maximus,1043,0.06,40,10,1.5,2,0.25,shallow,"Pauly (2002) Growth and mortality of the Basking Shark Cetorhinus maximus and their implications for management of Whale Sharks Rhincodon typus. In: Fowler SL, Reed TM, and Dipper FA, eds. Proceedings of the international seminar and workshop, Sabah, Malaysia, July 1997. Gland, Switzerland and Cambridge, UK: IUCN Species Survival Commission Shark Specialist Group, 199-208."
"Subclass NEOSELACHII, Cohort SELACHII",Lamniformes,Lamnidae,Carcharodon carcharias,600,0.065,40,12.5,6,2,0.2,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
